task_id,status,proposal_only,validation_status,model,elapsed_wall_time_sec,diagnosis_stage_wall_sec,repair_stage_wall_sec,diagnosis_api_calls,repair_api_calls,diagnosis_stage_tokens,repair_stage_tokens,api_calls_append_only,api_wall_sec,diagnosis_api_sec,repair_api_sec,api_total_tokens,api_prompt_tokens,api_completion_tokens,candidate_skill_ids
lab-unit-harmonization,complete,True,not_run,gpt-4.1,31.45127149671316,11.447777152061462,10.967623196542263,2,1,14436,8918,3,21.317781411111355,11.08969834446907,10.228083066642284,23354,22544,810,lab-unit-harmonization
manufacturing-equipment-maintenance,complete,True,not_run,gpt-4.1,20.160965286195278,10.235564954578876,5.675278604030609,2,1,4317,3068,3,15.373887918889523,10.031954534351826,5.341933384537697,7385,6719,666,gen_manufacturing-equipment-maintenance_1
multilingual-video-dubbing,complete,True,not_run,gpt-4.1,39.843822829425335,8.96891663223505,6.798071414232254,2,1,7631,5572,3,14.798299953341484,8.655416190624237,6.142883762717247,13203,12441,762,ffmpeg-audio-processing
organize-messy-files,complete,True,not_run,gpt-4.1,24.66400907933712,7.846360452473164,8.695587620139122,2,1,9590,8329,3,15.953001327812672,7.638036452233791,8.31496487557888,17919,17249,670,file-organizer
paper-anonymizer,complete,True,not_run,gpt-4.1,25.372473664581776,10.660419598221779,8.850162744522095,2,1,12255,6419,3,18.926583990454674,10.435002289712429,8.491581700742245,18674,17884,790,academic-pdf-redaction
pddl-airport-planning,complete,True,not_run,gpt-4.1,24.792956829071045,9.695805363357067,10.277582973241806,2,1,7513,5313,3,19.327868297696114,9.491381749510765,9.836486548185349,12826,12174,652,gen_pddl-airport-planning_1
python-scala-translation,complete,True,not_run,gpt-4.1,69.96568931639194,9.156013704836369,15.422638408839703,2,1,13412,6345,3,22.97035013139248,8.450439810752869,14.51991032063961,19757,19126,631,python-scala-oop
reserves-at-risk-calc,complete,True,not_run,gpt-4.1,28.189533799886703,10.896796762943268,9.344245165586472,2,1,9476,8956,3,19.28487218171358,10.571060426533222,8.713811755180359,18432,17668,764,xlsx
sec-financial-report,complete,True,not_run,gpt-4.1,54.22784374654293,10.953156098723412,8.26866377145052,2,1,9858,6604,3,17.90437960624695,10.490061692893505,7.414317913353443,16462,15727,735,gen_sec-financial-report_1
seismic-phase-picking,complete,True,not_run,gpt-4.1,29.179625898599625,10.187587708234787,8.657004453241825,2,1,12221,6892,3,18.26768448203802,9.976294450461864,8.291390031576157,19113,18342,771,gen_seismic-phase-picking_1
shock-analysis-supply,complete,True,not_run,gpt-4.1,22.66212696582079,9.755111865699291,9.34256061911583,2,1,8785,7405,3,18.37234426289797,9.443168967962265,8.929175294935703,16190,15385,805,xlsx
simpo-code-reproduction,complete,True,not_run,gpt-4.1,39.16791133582592,15.140108235180378,12.542055830359459,2,1,8182,5290,3,26.996672317385674,14.89150184392929,12.105170473456383,13472,12635,837,gen_simpo-code-reproduction_1
software-dependency-audit,complete,True,not_run,gpt-4.1,49.678242929279804,12.400568760931492,9.22284471988678,2,1,7621,6746,3,19.970755867660046,11.692108325660229,8.278647541999817,14367,13500,867,cvss-score-extraction
syzkaller-ppdev-syzlang,complete,True,not_run,gpt-4.1,25.965319573879242,13.390267707407475,7.296062059700489,2,1,10034,6522,3,20.072141632437706,13.17191693931818,6.900224693119526,16556,15721,835,syzkaller-build-loop
video-silence-remover,complete,True,not_run,gpt-4.1,105.67981398105621,9.397242866456509,5.822414256632328,2,1,4607,2938,3,14.673033237457275,9.18320668488741,5.489826552569866,7545,6831,714,gen_video-silence-remover_1
